"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2021","91.4522","91.4522","91.4522","91.4522","-","0.77%"
"Oct 10, 2021","90.7525","90.7525","90.7525","90.7525","-","1.35%"
"Oct 09, 2021","89.5417","89.5417","89.5417","89.5417","-","-0.94%"
"Oct 08, 2021","90.3897","90.3897","90.3897","90.3897","-","-0.27%"
"Oct 07, 2021","90.6366","90.6366","90.6366","90.6366","-","-1.89%"
"Oct 06, 2021","92.3804","92.3804","92.3804","92.3804","-","-0.53%"
"Oct 05, 2021","92.8684","92.8684","92.8684","92.8684","-","2.99%"
"Oct 04, 2021","90.1717","90.1717","90.1717","90.1717","-","3.24%"
"Oct 03, 2021","87.3408","87.3408","87.3408","87.3408","-","1.16%"
"Oct 02, 2021","86.3403","86.3403","86.3403","86.3403","-","-3.01%"
"Oct 01, 2021","89.0207","89.0207","89.0207","89.0207","-","-4.57%"
"Sep 30, 2021","93.2836","93.2836","93.2836","93.2836","-","-0.50%"
"Sep 29, 2021","93.7562","93.7562","93.7562","93.7562","-","-0.26%"
"Sep 28, 2021","94.0019","94.0019","94.0019","94.0019","-","2.78%"
"Sep 27, 2021","91.4585","91.4585","91.4585","91.4585","-","2.88%"
